Input Size,Thread Count,Run 1,Run 2,Run 3
25000,1,37.553214,37.725406,37.695154
25000,2,19.276793,18.888395,17.899776
25000,4,10.912671,11.136476,11.070290
25000,8,9.118054,9.293030,9.042267
25000,16,8.373289,8.391535,8.374413
25000,32,8.326486,8.499968,8.279525
25000,64,8.322347,8.380610,8.362156
30000,1,54.786193,55.316954,56.116663
30000,2,29.822356,27.587132,27.244996
30000,4,16.210201,16.120486,15.926701
30000,8,13.218671,14.069973,13.677392
30000,16,12.532445,12.544680,12.368545
30000,32,12.483374,12.615284,12.626848
30000,64,12.625082,12.483624,12.463218
40000,1,105.731296,106.413612,106.128337
