Input Size,Thread Count,Run 1,Run 2,Run 3
25000,1,27.762430,28.192820,28.029738
25000,2,18.521970,19.283041,18.758227
25000,4,14.975740,15.252684,14.946487
25000,8,14.125862,14.277499,14.300921
25000,16,13.022454,12.923662,13.215537
25000,32,13.950147,14.783803,14.622240
25000,64,13.743866,14.190699,15.007133
30000,1,37.966903,36.428210,34.689128
30000,2,22.563092,22.795566,22.606849
30000,4,18.356128,19.238556,18.409671
30000,8,18.934546,18.638127,18.514016
30000,16,18.489265,18.379337,20.202249
30000,32,18.936073,18.993932,18.982048
30000,64,19.138149,19.022281,19.015238
40000,1,77.757657,77.322587,77.300044
40000,2,59.536641,59.647851,59.613257
40000,4,47.611292,47.501711,47.827911
40000,8,41.219235,43.059371,41.084234
40000,16,39.103797,37.782489,37.522217
40000,32,36.905125,40.171461,39.782953
40000,64,37.144841,37.070154,38.084422
50000,1,,,
50000,2,,,
50000,4,,,
50000,8,,,
50000,16,,,
50000,32,,,
50000,64,,,
100000,1,,,
100000,2,,,
100000,4,,,
100000,8,,,
100000,16,,,
100000,32,,,
100000,64,,,
