Input Size,Thread Count,Run 1,Run 2,Run 3
25000,1,27.852175,28.102262,27.926409
25000,2,17.601929,17.435665,17.847655
25000,4,14.750780,14.616668,14.161466
25000,8,14.137745,14.413927,14.030449
25000,16,12.705159,12.853038,12.805013
25000,32,12.761288,12.870882,12.783819
25000,64,12.996598,12.739701,12.993780
30000,1,34.622217,34.319034,34.319455
30000,2,22.630668,22.547247,22.527650
30000,4,17.981844,18.260524,18.017941
30000,8,18.642053,18.785759,18.423202
30000,16,18.369019,17.913462,18.156932
30000,32,18.863642,18.791765,18.771282
30000,64,18.657073,18.941070,19.048230
40000,1,76.780447,77.154546,77.176197
40000,2,59.551001,59.339104,59.784482
40000,4,47.601694,47.579214,47.600440
40000,8,40.886748,40.848203,41.353609
40000,16,37.221346,37.295091,37.284880
40000,32,36.925484,36.641377,36.452928
40000,64,36.600287,36.707814,36.801709
50000,1,,,
50000,2,,,
50000,4,,,
50000,8,,,
50000,16,,,
50000,32,,,
50000,64,,,
100000,1,,,
100000,2,,,
100000,4,,,
100000,8,,,
100000,16,,,
100000,32,,,
100000,64,,,
